fitness,type,enemy,gen,algo
-200.49404814432097,max_fitness,1,1,custom_neat
-209.33770435044056,mean_fitness,1,1,custom_neat
-180.49404814432097,max_fitness,1,2,custom_neat
-207.11653720031245,mean_fitness,1,2,custom_neat
-180.49404814432097,max_fitness,1,3,custom_neat
-203.96537641268492,mean_fitness,1,3,custom_neat
-180.41897230568284,max_fitness,1,4,custom_neat
-199.58753333867026,mean_fitness,1,4,custom_neat
-140.7963254030355,max_fitness,1,5,custom_neat
-191.60615604747932,mean_fitness,1,5,custom_neat
-140.53571631812665,max_fitness,1,6,custom_neat
-175.89365041034756,mean_fitness,1,6,custom_neat
-140.53571631812665,max_fitness,1,7,custom_neat
-170.64231800147587,mean_fitness,1,7,custom_neat
-140.53571631812665,max_fitness,1,8,custom_neat
-176.48684823505704,mean_fitness,1,8,custom_neat
-140.53571631812665,max_fitness,1,9,custom_neat
-184.01538417368747,mean_fitness,1,9,custom_neat
-140.53571631812665,max_fitness,1,10,custom_neat
-185.23911410805744,mean_fitness,1,10,custom_neat
-131.81072369610914,max_fitness,1,11,custom_neat
-176.1609051090746,mean_fitness,1,11,custom_neat
-131.81072369610914,max_fitness,1,12,custom_neat
-176.8924066772655,mean_fitness,1,12,custom_neat
-131.81072369610914,max_fitness,1,13,custom_neat
-172.25135170238315,mean_fitness,1,13,custom_neat
-121.8960699783613,max_fitness,1,14,custom_neat
-173.48684924414883,mean_fitness,1,14,custom_neat
-121.8960699783613,max_fitness,1,15,custom_neat
-178.06044737704158,mean_fitness,1,15,custom_neat
-140.55622931846102,max_fitness,1,1,custom_neat
-205.86376494206115,mean_fitness,1,1,custom_neat
-140.55622931846102,max_fitness,1,2,custom_neat
-199.80438580130317,mean_fitness,1,2,custom_neat
-140.55622931846102,max_fitness,1,3,custom_neat
-191.4096122128091,mean_fitness,1,3,custom_neat
-130.57653406138908,max_fitness,1,4,custom_neat
-178.43008913912718,mean_fitness,1,4,custom_neat
-130.57653406138908,max_fitness,1,5,custom_neat
-182.62975697676683,mean_fitness,1,5,custom_neat
-130.56640745747598,max_fitness,1,6,custom_neat
-173.4710926615727,mean_fitness,1,6,custom_neat
-130.56640745747598,max_fitness,1,7,custom_neat
-175.70320182110393,mean_fitness,1,7,custom_neat
-130.56640745747598,max_fitness,1,8,custom_neat
-180.60486181708353,mean_fitness,1,8,custom_neat
