

MESSAGE: Pygame initialized for simulation.

RUN: run status: enemy: 3; fitness: -211.66962147412522; player life: 0; enemy life: 100; time: 342

RUN: run status: enemy: 3; fitness: -212.2361943960827; player life: 0; enemy life: 100; time: 454

RUN: run status: enemy: 3; fitness: -211.66962147412522; player life: 0; enemy life: 100; time: 342

RUN: run status: enemy: 3; fitness: -200.81434354292023; player life: 0; enemy life: 90.0; time: 223

RUN: run status: enemy: 3; fitness: -199.41906040262467; player life: 0; enemy life: 90.0; time: 111

RUN: run status: enemy: 3; fitness: -211.66962147412522; player life: 0; enemy life: 100; time: 342

RUN: run status: enemy: 3; fitness: -211.67546089433188; player life: 0; enemy life: 100; time: 343

RUN: run status: enemy: 3; fitness: -211.4666825537955; player life: 0; enemy life: 100; time: 309

RUN: run status: enemy: 3; fitness: -212.45307333857494; player life: 0; enemy life: 100; time: 506

RUN: run status: enemy: 3; fitness: -211.25524222738127; player life: 0; enemy life: 100; time: 278

RUN: run status: enemy: 3; fitness: -199.36426245424843; player life: 0; enemy life: 90.0; time: 108

RUN: run status: enemy: 3; fitness: -199.4547756374247; player life: 0; enemy life: 90.0; time: 113

RUN: run status: enemy: 3; fitness: -211.66962147412522; player life: 0; enemy life: 100; time: 342

RUN: run status: enemy: 3; fitness: -211.66376495456703; player life: 0; enemy life: 100; time: 341

RUN: run status: enemy: 3; fitness: -199.4898642567265; player life: 0; enemy life: 90.0; time: 115

RUN: run status: enemy: 3; fitness: -211.66962147412522; player life: 0; enemy life: 100; time: 342

RUN: run status: enemy: 3; fitness: -211.66962147412522; player life: 0; enemy life: 100; time: 342

RUN: run status: enemy: 3; fitness: -211.66376495456703; player life: 0; enemy life: 100; time: 341

RUN: run status: enemy: 3; fitness: -211.66962147412522; player life: 0; enemy life: 100; time: 342

RUN: run status: enemy: 3; fitness: -210.76899012557817; player life: 0; enemy life: 100; time: 218

RUN: run status: enemy: 3; fitness: -211.25524222738127; player life: 0; enemy life: 100; time: 278

RUN: run status: enemy: 3; fitness: -211.6520002147609; player life: 0; enemy life: 100; time: 339

RUN: run status: enemy: 3; fitness: -211.66962147412522; player life: 0; enemy life: 100; time: 342

RUN: run status: enemy: 3; fitness: -211.66962147412522; player life: 0; enemy life: 100; time: 342

RUN: run status: enemy: 3; fitness: -211.6520002147609; player life: 0; enemy life: 100; time: 339

RUN: run status: enemy: 3; fitness: -200.81434354292023; player life: 0; enemy life: 90.0; time: 223

RUN: run status: enemy: 3; fitness: -190.30658318899555; player life: 0; enemy life: 80.0; time: 173

RUN: run status: enemy: 3; fitness: -211.1744973168005; player life: 0; enemy life: 100; time: 267

RUN: run status: enemy: 3; fitness: -212.27545410817248; player life: 0; enemy life: 100; time: 463

RUN: run status: enemy: 3; fitness: -199.41906040262467; player life: 0; enemy life: 90.0; time: 111

RUN: run status: enemy: 3; fitness: -211.66376495456703; player life: 0; enemy life: 100; time: 341

RUN: run status: enemy: 3; fitness: -189.41906040262467; player life: 0; enemy life: 80.0; time: 111

RUN: run status: enemy: 3; fitness: -209.36426245424843; player life: 0; enemy life: 100; time: 108

RUN: run status: enemy: 3; fitness: -211.66376495456703; player life: 0; enemy life: 100; time: 341

RUN: run status: enemy: 3; fitness: -199.4547756374247; player life: 0; enemy life: 90.0; time: 113

RUN: run status: enemy: 3; fitness: -199.36426245424843; player life: 0; enemy life: 90.0; time: 108

RUN: run status: enemy: 3; fitness: -210.15034763046765; player life: 0; enemy life: 100; time: 160

